,base_notes,base_counts
0,musk,263
1,vanilla,197
2,patchouli,178
3,sandalwood,175
4,amber,151
5,vetiver,132
6,cedar,126
7,oakmoss,87
8,tonka bean,86
9,agarwood (oud),74
10,leather,70
11,ambergris,52
12,labdanum,37
13,jasmine,25
14,cashmeran,23
15,myrrh,21
16,tobacco,19
17,guaiac wood,18
18,orris root,15
19,civet,14
20,suede,13
21,ambroxan,13
22,birch,12
23,olibanum (frankincense),12
24,cloves,11
25,iris,10
26,tokaji wine,10
27,styrax,10
28,cypriol oil or nagarmotha,9
29,opoponax,8
30,castoreum,8
31,amberwood,8
32,cardamom,7
33,woody notes,7
34,saffron,6
35,ambrette (musk mallow),6
36,heliotrope,6
37,hazelnut cocoa spread,6
38,amber xtreme,6
39,honey,5
40,cinnamon,4
41,jasmine orchid,4
42,cumin,4
43,caramel,4
44,papyrus,4
45,peru balsam,4
46,coffee,4
47,tolu balsam,4
48,coconut,4
49,cashmir wood,4
50,ambretone,3
51,indian spices,3
52,violet,3
53,driftwood,3
54,mate,3
55,white chocolate,3
56,chocolate flower,3
57,nutmeg,3
58,amyris,3
59,elemi,3
60,rhubarb,3
61,pink pepper,3
62,galbanum,3
63,salt,3
64,cade oil,3
65,oak,2
66,marshmallow,2
67,geranium,2
68,angelica,2
69,rose,2
70,resins,2
71,praline,2
72,pepper,2
73,cypress,2
74,almond,2
75,licorice,2
76,juniper,2
77,hay,2
78,immortelle,2
79,toffee,2
80,hyraceum,2
81,clearwood,2
82,250,2
83,lily-of-the-valley,2
84,mimosa,1
85,ambrarome,1
86,white flowers,1
87,ylang-ylang,1
88,osmanthus,1
89,ginger,1
90,green notes,1
91,powdery notes,1
92,honeysuckle,1
93,teak wood,1
94,floral notes,1
95,orange,1
96,hyacinth,1
97,clary sage,1
98,smoke,1
99,dark chocolate,1
100,carrot seeds,1
101,iso e super,1
102,lily,1
103,orange blossom,1
104,strawberry,1
105,milk,1
106,birch tar,1
107,beeswax,1
108,akigalawood,1
109,peach,1
110,blackberry,1
111,raspberry,1
112,white oud,1
113,violet leaf,1
114,caraway,1
