,1,2,3,4,5
citrus_smells,citrus_smells,fruits_vegetables_and_nuts,greens_herbs_and_fougeres,spices,beverages
fruits_vegetables_and_nuts,fruits_vegetables_and_nuts,greens_herbs_and_fougeres,citrus_smells,spices,flowers
flowers,flowers,white_flowers,fruits_vegetables_and_nuts,greens_herbs_and_fougeres,musk_amber_animalic_smells
white_flowers,white_flowers,flowers,greens_herbs_and_fougeres,musk_amber_animalic_smells,fruits_vegetables_and_nuts
greens_herbs_and_fougeres,greens_herbs_and_fougeres,fruits_vegetables_and_nuts,spices,citrus_smells,flowers
spices,spices,greens_herbs_and_fougeres,sweets_and_gourmand_smells,fruits_vegetables_and_nuts,citrus_smells
sweets_and_gourmand_smells,sweets_and_gourmand_smells,spices,beverages,fruits_vegetables_and_nuts,greens_herbs_and_fougeres
woods_and_mosses,woods_and_mosses,white_flowers,flowers,greens_herbs_and_fougeres,musk_amber_animalic_smells
resins_and_balsams,resins_and_balsams,netural_and_synthetic_popular_and_weird,beverages,greens_herbs_and_fougeres,spices
musk_amber_animalic_smells,musk_amber_animalic_smells,fruits_vegetables_and_nuts,greens_herbs_and_fougeres,white_flowers,spices
beverages,beverages,sweets_and_gourmand_smells,spices,greens_herbs_and_fougeres,citrus_smells
netural_and_synthetic_popular_and_weird,netural_and_synthetic_popular_and_weird,resins_and_balsams,beverages,musk_amber_animalic_smells,greens_herbs_and_fougeres
